name	start	end	size	instruction_count	direct_calls	import_calls_or_refs	string_refs_sample
sub_00575E40	0x575e40	0x575fc1	385	127	sub_00561960,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00575FC1	0x575fc1	0x575ff0	47	25			
sub_00575FF0	0x575ff0	0x576050	96	34	sub_00557570,sub_005575C0,sub_0055AAA0,sub_0055AAD0,sub_005A6CC0	USER32.dll!IsWindow	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00576050	0x576050	0x5760e0	144	55	sub_005A6CC0	USER32.dll!IsWindow,USER32.dll!SendMessageA	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_005760E0	0x5760e0	0x576120	64	30			f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin1.inl | COMBOBOX
sub_00576120	0x576120	0x576180	96	31	sub_0055DAF0,sub_0055E230		
sub_00576180	0x576180	0x5761b0	48	26	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_005761B0	0x5761b0	0x5761e0	48	26	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_005761E0	0x5761e0	0x576210	48	25	sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00576210	0x576210	0x576220	16	10			
sub_00576220	0x576220	0x576340	288	95	sub_00561960,sub_005A6CC0		打W抆W拫W抶W挛W | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_00576340	0x576340	0x576370	48	29			
sub_00576370	0x576370	0x5763d0	96	36	sub_00558140,sub_00558190,sub_0055AAA0,sub_0055AAD0,sub_005A6CC0	USER32.dll!IsWindow	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\winctrl1.cpp
sub_005763D0	0x5763d0	0x576410	64	30			f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin1.inl | EDIT
sub_00576410	0x576410	0x576470	96	31	sub_0055DAF0,sub_0055E230		
sub_00576470	0x576470	0x5764b0	64	30			f:\sp\vctools\vc7libs\ship\atlmfc\include\afxwin1.inl | SCROLLBAR
sub_005764B0	0x5764b0	0x576510	96	31	sub_0055DAF0,sub_0055E230		
sub_00576510	0x576510	0x576520	16	8			
sub_00576520	0x576520	0x576530	16	8			
sub_00576530	0x576530	0x576540	16	8			
sub_00576540	0x576540	0x576550	16	8			
sub_00576550	0x576550	0x576560	16	8			
sub_00576560	0x576560	0x576570	16	8			
sub_00576570	0x576570	0x5765a0	48	20	sub_005765A0		
sub_005765A0	0x5765a0	0x576680	224	83	sub_004028B0,sub_004028F0,sub_004029C0,sub_005539D0,sub_0056EF30,sub_0056F0D0,sub_005A6CC0		f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | Error: no data exchange control with ID 0x%04X.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576680	0x576680	0x576740	192	65	sub_004028B0,sub_004028F0,sub_004029C0,sub_0056F0D0,sub_0059EF00	USER32.dll!SendMessageA,USER32.dll!SetFocus	Warning: CDataExchange::Fail called when not validating.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | Error: fail validation with no control to restore focus to.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576740	0x576740	0x576860	288	105	sub_004E6810,sub_004ED030,sub_004F37C0,sub_00553180,sub_00576570,sub_00576680,sub_005971F0,sub_005A6CC0,sub_005BBFA0,sub_00646EA0	USER32.dll!GetWindowTextA	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576860	0x576860	0x5768e0	128	44	sub_00576680,sub_00576740,sub_005971F0		
sub_005768E0	0x5768e0	0x576930	80	29	sub_00576740		栥d栥d搥
sub_00576930	0x576930	0x576980	80	30	sub_00576740		
sub_00576980	0x576980	0x5769d0	80	30	sub_00576740		
sub_005769D0	0x5769d0	0x576a20	80	30	sub_00576740		氥d氥d氥u氥u
sub_00576A20	0x576a20	0x576a70	80	30	sub_00576740		
sub_00576A70	0x576a70	0x576ad0	96	44	sub_00576740		%I64d | %I64d
sub_00576AD0	0x576ad0	0x576b30	96	44	sub_00576740		%I64u | %I64u
sub_00576B30	0x576b30	0x576ba0	112	43	sub_00405910,sub_0055AAA0,sub_0055AAD0,sub_00576570,sub_005BBFA0	USER32.dll!GetWindowTextA,USER32.dll!GetWindowTextLengthA	
sub_00576BA0	0x576ba0	0x576c50	176	66	sub_004028B0,sub_004028F0,sub_004029C0,sub_00576570,sub_005A6CC0,sub_005BBFA0	USER32.dll!GetWindowTextA,USER32.dll!GetWindowTextLengthA	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | Text in control ID %d is too long. Call DDV_MaxChars()!\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576C50	0x576c50	0x576d30	224	84	sub_004028B0,sub_004028F0,sub_004029C0,sub_0056F0D0,sub_005765A0,sub_005A6CC0	USER32.dll!SendMessageA	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | Warning: dialog data checkbox value (%d) out of range.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576D30	0x576d30	0x576eb0	384	131	sub_004028B0,sub_004028F0,sub_004029C0,sub_0056F0D0,sub_005765A0,sub_005A6CC0	USER32.dll!GetWindow,USER32.dll!GetWindowLongA,USER32.dll!SendMessageA	f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp | Warning: skipping non-radio button in group.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576EB0	0x576eb0	0x576fa0	240	84	sub_004028B0,sub_004028F0,sub_004029C0,sub_00405910,sub_00405940,sub_0055AAA0,sub_0055AAD0,sub_0056F0D0,sub_005765A0	USER32.dll!SendMessageA	Warning: no listbox item selected.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00576FA0	0x576fa0	0x577050	176	62	sub_004028B0,sub_004028F0,sub_004029C0,sub_00405910,sub_0056F0D0,sub_005765A0,sub_00576EB0	USER32.dll!SendMessageA	Warning: no listbox item selected.\n | f:\sp\vctools\vc7libs\ship\atlmfc\src\mfc\dlgdata.cpp
sub_00577050	0x577050	0x577110	192	66	sub_00405910,sub_00407860,sub_0055AAA0,sub_0055AAD0,sub_0056F0D0,sub_005765A0,sub_005BBFA0	USER32.dll!GetWindowTextA,USER32.dll!GetWindowTextLengthA,USER32.dll!SendMessageA	
sub_00577110	0x577110	0x5771b0	160	67	sub_00405910,sub_0056F0D0,sub_005765A0,sub_00577050,sub_005BBFA0	USER32.dll!SendMessageA	
sub_005771B0	0x5771b0	0x577220	112	51	sub_0056F0D0,sub_005765A0	USER32.dll!SendMessageA	
sub_00577220	0x577220	0x577290	112	51	sub_0056F0D0,sub_005765A0	USER32.dll!SendMessageA	
sub_00577290	0x577290	0x5772f0	96	43	sub_0056F0D0,sub_005765A0	USER32.dll!GetScrollPos,USER32.dll!SetScrollPos	
sub_005772F0	0x5772f0	0x577360	112	51	sub_0056F0D0,sub_005765A0	USER32.dll!SendMessageA	
sub_00577360	0x577360	0x5773c0	96	37	sub_0056F0D0,sub_005765A0	USER32.dll!SendMessageA	
